subject,accuracy
1,89.17
2,63.33
3,50.00
4,37.50
5,49.17
6,53.33
7,55.83
8,58.33
9,60.83
10,39.17
11,50.83
12,34.17
13,55.00
14,88.33
15,79.17
16,87.50
17,72.50
18,50.83
19,29.17
20,86.67
21,60.00
22,52.50
23,75.00
24,91.67
25,90.00
26,35.83
27,41.67
28,76.67
29,57.50
30,87.50
31,72.50
32,37.50
33,70.00
34,51.67
35,63.33
36,75.83
37,74.17
38,65.83
39,30.00
40,65.00
41,65.00
42,55.00
43,65.00
44,46.67
45,33.33
46,82.50
47,72.50
48,55.00
49,55.00
50,57.50
51,75.83
52,84.17
53,32.50
54,69.17
55,80.00
56,46.67
57,65.00
58,45.00
59,66.67
60,48.33
61,61.67
62,41.67
63,50.00
64,44.17
65,52.50
66,42.50
67,88.33
68,86.67
69,61.67
70,37.50
71,26.67
72,56.67
73,21.67
74,49.17
75,36.67
76,63.33
77,34.17
78,60.83
79,42.50
80,44.17
81,46.67
82,27.50
83,91.67
84,87.50
85,68.33
86,85.00
mean,59.01%
std,18.35%
