subject,accuracy
1,98.33
2,80.83
3,80.00
4,60.83
5,77.50
6,75.00
7,72.50
8,87.50
9,79.17
10,78.33
11,63.33
12,48.33
13,83.33
14,95.00
15,88.33
16,96.67
17,85.83
18,76.67
19,27.50
20,100.00
21,68.33
22,84.17
23,89.17
24,97.50
25,95.83
26,55.83
27,73.33
28,90.00
29,80.83
30,98.33
31,87.50
32,46.67
33,99.17
34,64.17
35,74.17
36,89.17
37,90.00
38,93.33
39,41.67
40,92.50
41,83.33
42,75.83
43,72.50
44,71.67
45,68.33
46,95.83
47,90.00
48,63.33
49,79.17
50,85.00
51,90.83
52,96.67
53,51.67
54,80.00
55,90.83
56,61.67
57,81.67
58,72.50
59,92.50
60,77.50
61,70.83
62,45.00
63,73.33
64,66.67
65,72.50
66,75.83
67,95.00
68,95.00
69,72.50
70,44.17
71,32.50
72,66.67
73,28.33
74,72.50
75,55.83
76,88.33
77,38.33
78,84.17
79,51.67
80,58.33
81,69.17
82,55.83
83,100.00
84,92.50
85,90.83
86,90.00
mean,75.97%
std,17.73%
