subject,accuracy
1,96.67
2,80.00
3,82.50
4,60.00
5,69.17
6,71.67
7,75.00
8,85.83
9,75.00
10,71.67
11,69.17
12,55.00
13,74.17
14,94.17
15,95.00
16,96.67
17,85.83
18,77.50
19,30.00
20,100.00
21,70.83
22,69.17
23,88.33
24,98.33
25,96.67
26,48.33
27,64.17
28,88.33
29,74.17
30,96.67
31,90.83
32,39.17
33,98.33
34,60.83
35,77.50
36,81.67
37,86.67
38,86.67
39,45.00
40,96.67
41,80.83
42,57.50
43,77.50
44,68.33
45,65.83
46,95.00
47,88.33
48,64.17
49,75.83
50,75.00
51,95.00
52,96.67
53,57.50
54,76.67
55,90.00
56,55.00
57,78.33
58,70.83
59,91.67
60,75.83
61,62.50
62,43.33
63,74.17
64,59.17
65,65.00
66,68.33
67,95.00
68,95.00
69,72.50
70,40.83
71,32.50
72,69.17
73,30.83
74,66.67
75,58.33
76,83.33
77,39.17
78,80.00
79,52.50
80,52.50
81,65.83
82,36.67
83,100.00
84,96.67
85,92.50
86,91.67
mean,73.99%
std,18.33%
