subject,accuracy
1,91.67
2,65.83
3,52.50
4,39.17
5,46.67
6,54.17
7,60.00
8,61.67
9,56.67
10,38.33
11,54.17
12,38.33
13,62.50
14,69.17
15,79.17
16,71.67
17,68.33
18,58.33
19,31.67
20,96.67
21,58.33
22,57.50
23,78.33
24,93.33
25,85.83
26,37.50
27,48.33
28,72.50
29,50.83
30,90.00
31,74.17
32,34.17
33,72.50
34,45.83
35,55.83
36,55.00
37,74.17
38,73.33
39,24.17
40,80.83
41,69.17
42,54.17
43,56.67
44,49.17
45,39.17
46,90.00
47,72.50
48,48.33
49,53.33
50,58.33
51,83.33
52,90.83
53,40.83
54,64.17
55,85.83
56,45.83
57,56.67
58,63.33
59,60.83
60,64.17
61,49.17
62,38.33
63,50.00
64,42.50
65,45.83
66,49.17
67,86.67
68,90.00
69,53.33
70,31.67
71,25.83
72,55.00
73,25.00
74,48.33
75,45.83
76,55.00
77,41.67
78,74.17
79,40.83
80,44.17
81,41.67
82,40.00
83,95.00
84,90.83
85,63.33
86,85.00
mean,59.47%
std,18.39%
