subject,accuracy
1,99.17%
2,86.67%
3,89.17%
4,64.17%
5,89.17%
6,85.00%
7,86.67%
8,95.83%
9,84.17%
10,85.00%
11,70.00%
12,64.17%
13,85.00%
14,95.83%
15,96.67%
16,95.83%
17,96.67%
18,80.83%
19,31.67%
20,99.17%
21,71.67%
22,81.67%
23,85.83%
24,100.00%
25,96.67%
26,79.17%
27,70.00%
28,95.00%
29,81.67%
30,96.67%
31,94.17%
32,46.67%
33,98.33%
34,60.00%
35,82.50%
36,90.83%
37,95.00%
38,96.67%
39,57.50%
40,96.67%
41,95.83%
42,74.17%
43,86.67%
44,83.33%
45,78.33%
46,100.00%
47,94.17%
48,70.00%
49,90.00%
50,86.67%
51,95.00%
52,96.67%
53,59.17%
54,84.17%
55,93.33%
56,58.33%
57,90.00%
58,80.83%
59,96.67%
60,74.17%
61,65.83%
62,58.33%
63,77.50%
64,65.83%
65,80.83%
66,76.67%
67,94.17%
68,98.33%
69,82.50%
70,56.67%
71,43.33%
72,75.83%
73,32.50%
74,77.50%
75,55.00%
76,91.67%
77,37.50%
78,83.33%
79,65.00%
80,60.00%
81,80.00%
82,74.17%
83,100.00%
84,95.83%
85,95.00%
86,95.83%
mean,80.98%
std,16.54%
