subject,accuracy
1,95.83
2,72.50
3,75.83
4,63.33
5,73.33
6,71.67
7,73.33
8,81.67
9,75.83
10,71.67
11,69.17
12,56.67
13,69.17
14,95.83
15,85.83
16,94.17
17,83.33
18,72.50
19,29.17
20,99.17
21,62.50
22,72.50
23,89.17
24,99.17
25,93.33
26,54.17
27,65.83
28,85.83
29,62.50
30,96.67
31,90.83
32,44.17
33,97.50
34,55.83
35,75.00
36,80.00
37,89.17
38,83.33
39,40.00
40,94.17
41,80.00
42,49.17
43,74.17
44,70.83
45,55.00
46,93.33
47,90.83
48,59.17
49,77.50
50,75.83
51,95.00
52,95.83
53,60.83
54,74.17
55,84.17
56,45.83
57,77.50
58,65.00
59,85.00
60,73.33
61,64.17
62,45.83
63,72.50
64,63.33
65,56.67
66,67.50
67,92.50
68,97.50
69,68.33
70,45.00
71,35.00
72,67.50
73,29.17
74,65.83
75,48.33
76,85.83
77,40.00
78,84.17
79,54.17
80,47.50
81,57.50
82,36.67
83,100.00
84,91.67
85,92.50
86,87.50
mean,72.34%
std,18.26%
