subject,accuracy
1,97.50
2,80.00
3,75.83
4,59.17
5,71.67
6,75.83
7,68.33
8,80.00
9,71.67
10,65.00
11,60.83
12,46.67
13,78.33
14,94.17
15,93.33
16,94.17
17,83.33
18,75.83
19,30.00
20,100.00
21,65.83
22,66.67
23,90.83
24,95.00
25,95.00
26,48.33
27,63.33
28,90.83
29,67.50
30,97.50
31,90.00
32,42.50
33,95.83
34,50.00
35,69.17
36,86.67
37,92.50
38,85.83
39,38.33
40,92.50
41,80.83
42,72.50
43,74.17
44,70.83
45,60.83
46,95.83
47,90.83
48,61.67
49,74.17
50,67.50
51,96.67
52,96.67
53,61.67
54,84.17
55,90.83
56,60.00
57,81.67
58,71.67
59,86.67
60,68.33
61,65.00
62,44.17
63,69.17
64,55.83
65,65.83
66,54.17
67,95.00
68,98.33
69,70.83
70,46.67
71,32.50
72,73.33
73,29.17
74,70.83
75,48.33
76,85.83
77,41.67
78,82.50
79,58.33
80,49.17
81,48.33
82,36.67
83,98.33
84,95.00
85,90.83
86,88.33
mean,72.88%
std,18.81%
