subject,accuracy
1,90.0
2,67.5
3,49.166666666666664
4,28.333333333333332
5,63.333333333333336
6,68.33333333333333
7,58.333333333333336
8,75.83333333333333
9,62.5
10,38.333333333333336
11,48.333333333333336
12,45.0
13,56.666666666666664
14,65.0
15,80.83333333333333
16,58.333333333333336
17,65.0
18,67.5
19,38.333333333333336
20,53.333333333333336
21,52.5
22,60.833333333333336
23,67.5
24,39.166666666666664
25,67.5
26,39.166666666666664
27,48.333333333333336
28,71.66666666666667
29,65.83333333333333
30,87.5
mean_accuracy,59.33
std_accuracy,14.86
train_time_s,15.44
