subject,accuracy
1,90.83
2,67.50
3,50.00
4,35.00
5,48.33
6,58.33
7,51.67
8,62.50
9,53.33
10,44.17
11,52.50
12,33.33
13,50.83
14,86.67
15,76.67
16,87.50
17,70.83
18,57.50
19,30.00
20,93.33
21,60.83
22,50.83
23,74.17
24,90.83
25,90.83
26,35.00
27,48.33
28,68.33
29,55.83
30,82.50
31,75.83
32,32.50
33,73.33
34,56.67
35,59.17
36,68.33
37,67.50
38,72.50
39,25.83
40,70.83
41,60.83
42,54.17
43,65.00
44,46.67
45,37.50
46,84.17
47,75.83
48,50.00
49,55.00
50,61.67
51,75.83
52,85.83
53,40.00
54,60.83
55,80.00
56,48.33
57,58.33
58,48.33
59,68.33
60,49.17
61,55.00
62,42.50
63,46.67
64,51.67
65,58.33
66,37.50
67,92.50
68,88.33
69,59.17
70,40.83
71,21.67
72,55.83
73,25.00
74,46.67
75,37.50
76,61.67
77,36.67
78,43.33
79,40.00
80,44.17
81,31.67
82,90.83
83,86.67
84,67.50
85,83.33
86,64.17
87,80.83
88,66.67
89,69.17
90,88.33
91,52.50
92,63.33
93,71.67
94,65.00
95,81.67
96,71.67
97,40.83
98,53.33
99,84.17
100,90.00
mean,60.55
std,18.12
