subject,accuracy
1,95.00
2,80.83
3,82.50
4,65.00
5,77.50
6,69.17
7,71.67
8,87.50
9,78.33
10,73.33
11,64.17
12,49.17
13,80.83
14,94.17
15,88.33
16,95.00
17,88.33
18,80.00
19,28.33
20,100.00
21,70.00
22,74.17
23,90.00
24,97.50
25,95.83
26,53.33
27,65.83
28,91.67
29,75.00
30,96.67
31,86.67
32,53.33
33,94.17
34,65.00
35,72.50
36,85.00
37,92.50
38,94.17
39,47.50
40,95.00
41,90.00
42,70.83
43,75.83
44,70.00
45,70.83
46,95.83
47,95.00
48,62.50
49,85.83
50,88.33
51,96.67
52,97.50
53,47.50
54,78.33
55,95.00
56,64.17
57,82.50
58,72.50
59,91.67
60,78.33
61,75.00
62,50.83
63,71.67
64,65.00
65,66.67
66,65.83
67,95.00
68,94.17
69,77.50
70,45.00
71,41.67
72,71.67
73,22.50
74,71.67
75,51.67
76,85.00
77,34.17
78,53.33
79,50.83
80,66.67
81,51.67
82,99.17
83,92.50
84,89.17
85,89.17
86,93.33
87,95.00
88,82.50
89,87.50
90,100.00
91,91.67
92,75.83
93,84.17
94,85.83
95,91.67
96,90.00
97,65.83
98,78.33
99,92.50
100,97.50
mean,77.43
std,17.36
