subject,accuracy
1,98.33
2,75.00
3,75.00
4,57.50
5,69.17
6,76.67
7,75.83
8,82.50
9,73.33
10,75.83
11,61.67
12,55.83
13,76.67
14,93.33
15,95.00
16,95.83
17,83.33
18,78.33
19,28.33
20,100.00
21,66.67
22,73.33
23,90.83
24,99.17
25,94.17
26,55.00
27,65.00
28,89.17
29,70.83
30,97.50
31,88.33
32,37.50
33,97.50
34,59.17
35,75.83
36,83.33
37,91.67
38,88.33
39,45.83
40,96.67
41,81.67
42,52.50
43,75.83
44,67.50
45,55.00
46,95.83
47,92.50
48,56.67
49,82.50
50,74.17
51,95.00
52,96.67
53,61.67
54,81.67
55,86.67
56,51.67
57,75.83
58,68.33
59,85.00
60,72.50
61,63.33
62,43.33
63,70.83
64,57.50
65,64.17
66,70.00
67,95.00
68,96.67
69,74.17
70,40.00
71,41.67
72,75.00
73,30.83
74,65.00
75,55.00
76,79.17
77,37.50
78,59.17
79,47.50
80,58.33
81,35.00
82,99.17
83,98.33
84,87.50
85,92.50
86,95.83
87,95.00
88,84.17
89,85.83
90,100.00
91,84.17
92,75.83
93,90.00
94,76.67
95,94.17
96,88.33
97,55.83
98,80.00
99,96.67
100,100.00
mean,75.42
std,18.38
