subject,accuracy
1,95.00
2,70.83
3,76.67
4,55.83
5,75.00
6,70.00
7,70.83
8,81.67
9,71.67
10,69.17
11,65.83
12,49.17
13,71.67
14,94.17
15,90.83
16,97.50
17,84.17
18,76.67
19,28.33
20,100.00
21,60.00
22,71.67
23,89.17
24,99.17
25,94.17
26,45.83
27,64.17
28,84.17
29,65.83
30,98.33
31,88.33
32,40.83
33,93.33
34,58.33
35,69.17
36,81.67
37,89.17
38,89.17
39,36.67
40,94.17
41,81.67
42,47.50
43,75.00
44,67.50
45,55.83
46,93.33
47,89.17
48,56.67
49,77.50
50,68.33
51,95.00
52,95.00
53,59.17
54,78.33
55,83.33
56,45.00
57,73.33
58,60.00
59,90.83
60,73.33
61,65.83
62,54.17
63,76.67
64,57.50
65,55.83
66,66.67
67,93.33
68,95.00
69,66.67
70,39.17
71,33.33
72,71.67
73,25.83
74,58.33
75,50.83
76,80.83
77,37.50
78,58.33
79,51.67
80,55.83
81,40.00
82,99.17
83,94.17
84,89.17
85,90.00
86,95.83
87,91.67
88,83.33
89,85.00
90,99.17
91,88.33
92,80.00
93,87.50
94,75.83
95,88.33
96,87.50
97,55.83
98,75.83
99,92.50
100,97.50
mean,73.66
std,18.66
