subject,accuracy
1,99.17
2,82.50
3,70.83
4,62.50
5,69.17
6,69.17
7,68.33
8,84.17
9,75.83
10,66.67
11,60.83
12,50.83
13,77.50
14,96.67
15,92.50
16,94.17
17,80.83
18,73.33
19,28.33
20,100.00
21,66.67
22,69.17
23,90.83
24,97.50
25,94.17
26,48.33
27,64.17
28,90.83
29,60.83
30,98.33
31,91.67
32,46.67
33,95.83
34,57.50
35,70.83
36,87.50
37,87.50
38,87.50
39,37.50
40,92.50
41,73.33
42,67.50
43,76.67
44,70.83
45,62.50
46,97.50
47,90.83
48,58.33
49,71.67
50,68.33
51,93.33
52,98.33
53,51.67
54,80.83
55,86.67
56,57.50
57,80.00
58,66.67
59,88.33
60,68.33
61,69.17
62,52.50
63,65.83
64,58.33
65,67.50
66,50.00
67,95.00
68,96.67
69,66.67
70,48.33
71,28.33
72,66.67
73,22.50
74,67.50
75,47.50
76,90.83
77,44.17
78,57.50
79,50.00
80,55.00
81,37.50
82,99.17
83,92.50
84,90.00
85,90.83
86,94.17
87,89.17
88,84.17
89,84.17
90,100.00
91,81.67
92,75.00
93,88.33
94,75.83
95,94.17
96,81.67
97,50.83
98,69.17
99,95.83
100,98.33
mean,74.21
std,18.63
