subj,acc
1,89.16666666666667
2,71.66666666666667
3,60.833333333333336
4,45.833333333333336
5,76.66666666666667
6,64.16666666666667
7,69.16666666666667
8,80.83333333333333
9,70.83333333333333
10,55.833333333333336
11,54.166666666666664
12,57.5
13,55.833333333333336
14,77.5
15,73.33333333333333
16,68.33333333333333
17,75.83333333333333
18,70.0
19,30.0
20,62.5
21,47.5
22,75.0
23,54.166666666666664
24,75.0
25,85.0
26,44.166666666666664
27,56.666666666666664
28,76.66666666666667
29,62.5
30,91.66666666666667
31,84.16666666666667
32,59.166666666666664
33,74.16666666666667
34,59.166666666666664
35,71.66666666666667
36,69.16666666666667
37,85.0
38,85.83333333333333
39,46.666666666666664
40,84.16666666666667
41,83.33333333333333
42,51.666666666666664
43,73.33333333333333
44,60.833333333333336
45,68.33333333333333
46,87.5
47,85.83333333333333
48,49.166666666666664
49,64.16666666666667
50,54.166666666666664
51,80.83333333333333
52,93.33333333333333
53,46.666666666666664
54,65.0
55,55.833333333333336
56,65.83333333333333
57,54.166666666666664
58,62.5
59,79.16666666666667
60,69.16666666666667

elapsed_time_sec,1364.45
