subject,accuracy
1,90.0
2,75.83333333333333
3,47.5
4,32.5
5,64.16666666666667
6,66.66666666666667
7,61.666666666666664
8,84.16666666666667
9,62.5
10,45.833333333333336
11,51.666666666666664
12,43.333333333333336
13,55.0
14,61.666666666666664
15,80.83333333333333
16,57.5
17,68.33333333333333
18,69.16666666666667
19,37.5
20,60.833333333333336
21,55.0
22,70.83333333333333
23,67.5
24,56.666666666666664
25,73.33333333333333
26,41.666666666666664
27,59.166666666666664
28,79.16666666666667
29,63.333333333333336
30,93.33333333333333
mean_accuracy,62.56
std_accuracy,14.87
train_time_s,11.42
